ID,GenderSelect,Country,Age,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,Tenure,MLSkillsSelect,MLTechniquesSelect,EmployerSize,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyTalent,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,CompensationScore,WorkMLTeamSeatSelect,RemoteWork,JobSatisfaction,Continent,Income,IncomeCurrency
29,Female,United States of America,,Data Scientist,Python,Doctoral degree,More than 10 years,"Computer Vision,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Speech Recognition,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)","10,000 or more employees",,Often,,Often,,Other,Always,5,NA_,174800,dollar
30,Male,France,23.0,Data Analyst,Python,Master's degree,Less than a year,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs",I don't know,,,Sometimes,Sometimes,,Standalone Team,Never,7,EU_,115380,euro
31,Male,Taiwan,22.0,Data Analyst,Python,Bachelor's degree,1 to 2 years,Recommendation Engines,"Decision Trees - Random Forests,Logistic Regression",10 to 19 employees,,,,,,IT Department,Always,6,AS_,86120,euro
32,Male,Other,24.0,Data Analyst,Python,Bachelor's degree,1 to 2 years,"Supervised Machine Learning (Tabular Data),Time Series",Support Vector Machines (SVMs),100 to 499 employees,,,,,10.0,IT Department,Rarely,5,Other_,82080,euro
33,Male,India,23.0,Data Analyst,R,Bachelor's degree,1 to 2 years,"Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - RNNs",20 to 99 employees,,,,,,IT Department,Sometimes,9,AS_,56541,euro
34,Male,United States of America,28.0,Scientist/Researcher,Python,Doctoral degree,3 to 5 years,Computer Vision,"Decision Trees - Gradient Boosted Machines,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)","10,000 or more employees",,,,,,Other,Sometimes,8,NA_,152895,dollar
35,Male,Switzerland,28.0,Data Scientist,Python,Master's degree,6 to 10 years,Supervised Machine Learning (Tabular Data),"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs",10 to 19 employees,Sometimes,,Rarely,Often,4.0,Standalone Team,,10,EU_,128660,euro
36,Male,India,34.0,DBA/Database Engineer,SQL,Master's degree,3 to 5 years,"Outlier detection (e.g. Fraud detection),Survival Analysis,Time Series","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",20 to 99 employees,,Most of the time,Most of the time,,8.0,Standalone Team,Never,5,AS_,115860,euro
37,Male,United Kingdom,35.0,Machine Learning Engineer,Python,Master's degree,1 to 2 years,Supervised Machine Learning (Tabular Data),Decision Trees - Random Forests,"5,000 to 9,999 employees",,Most of the time,,,2.0,Other,Never,8,EU_,110884,euro
38,Male,Mexico,26.0,Data Scientist,Python,Bachelor's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Unsupervised Learning,Other (please specify; separate by semi-colon)","Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",Fewer than 10 employees,,Most of the time,Often,,8.0,IT Department,Sometimes,8,NA_,110018,dollar
39,Male,Finland,27.0,Scientist/Researcher,Python,Master's degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",I prefer not to answer,,,Sometimes,,1.0,Standalone Team,Sometimes,8,EU_,116206,euro
40,Male,Canada,56.0,Scientist/Researcher,SAS,Doctoral degree,More than 10 years,"Outlier detection (e.g. Fraud detection),Survival Analysis,Time Series","Logistic Regression,Other (please specify; separate by semi-colon)",,,,,,,Standalone Team,Sometimes,8,NA_,194037,dollar
41,Male,France,26.0,Scientist/Researcher,Python,Master's degree,1 to 2 years,Other (please specify; separate by semi-colon),"Bayesian Techniques,Other (please specify; separate by semi-colon)",100 to 499 employees,,Often,,Most of the time,1.0,Other,Sometimes,7,EU_,119377,euro
42,Male,France,50.0,Data Miner,R,Master's degree,1 to 2 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Other (please specify; separate by semi-colon)","10,000 or more employees",,Often,Often,Sometimes,2.0,Business Department,Sometimes,4,EU_,107020,euro
43,Male,United States of America,53.0,Data Analyst,Python,Master's degree,More than 10 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)","10,000 or more employees",,Most of the time,Often,Often,3.0,IT Department,Rarely,2,NA_,122164,dollar
44,Male,Romania,32.0,Software Developer/Software Engineer,Python,Master's degree,Less than a year,"Natural Language Processing,Supervised Machine Learning (Tabular Data)",Logistic Regression,"10,000 or more employees",,Often,,,,Standalone Team,Sometimes,8,EU_,110338,euro
45,Male,Indonesia,24.0,Software Developer/Software Engineer,Python,Bachelor's degree,Less than a year,Unsupervised Learning,Bayesian Techniques,10 to 19 employees,,,,,8.0,IT Department,Rarely,8,AS_,79906,euro
46,Male,Australia,42.0,Data Analyst,R,Bachelor's degree,More than 10 years,,,20 to 99 employees,,,,,,Business Department,,6,OC_,95202,euro
47,Male,United States of America,23.0,Data Scientist,C/C++/C#,Bachelor's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Support Vector Machines (SVMs)",100 to 499 employees,,Most of the time,,,4.0,Standalone Team,,5,NA_,103694,dollar
48,Female,Russia,25.0,Scientist/Researcher,Python,Master's degree,3 to 5 years,"Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",20 to 99 employees,,,,,,Standalone Team,Sometimes,8,EU_,97569,euro
49,Male,South Korea,57.0,Machine Learning Engineer,Python,Doctoral degree,More than 10 years,"Computer Vision,Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Neural Networks - CNNs,Neural Networks - RNNs",,,Most of the time,Often,,8.0,IT Department,Sometimes,7,AS_,128392,euro
50,Male,Colombia,28.0,Predictive Modeler,R,Other,1 to 2 years,"Reinforcement learning,Supervised Machine Learning (Tabular Data)","Decision Trees - Random Forests,Logistic Regression","10,000 or more employees",Most of the time,,Often,,0.0,Standalone Team,Rarely,8,SA_,106446,euro
51,Female,Spain,35.0,Business Analyst,Java,Bachelor's degree,Less than a year,"Speech Recognition,Survival Analysis",Logistic Regression,10 to 19 employees,,,,,0.0,Business Department,Sometimes,6,EU_,107079,euro
52,Male,South Africa,26.0,Data Scientist,R,Master's degree,1 to 2 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Speech Recognition,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)","10,000 or more employees",,Most of the time,Often,,8.0,Business Department,Sometimes,8,AF_,113943,euro
53,Male,Romania,38.0,Software Developer/Software Engineer,Python,Doctoral degree,More than 10 years,"Computer Vision,Supervised Machine Learning (Tabular Data)","Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",100 to 499 employees,,,,,2.0,Standalone Team,Sometimes,9,EU_,134780,euro
54,Male,Finland,33.0,Data Analyst,Python,Other,6 to 10 years,,,Fewer than 10 employees,,,Most of the time,,2.0,Other,Rarely,6,EU_,93272,euro
55,Female,Switzerland,32.0,Engineer,,Doctoral degree,3 to 5 years,Time Series,"Bayesian Techniques,Hidden Markov Models HMMs,Support Vector Machines (SVMs)",500 to 999 employees,,Often,,,4.0,Standalone Team,Rarely,7,EU_,130734,euro
56,Male,Italy,53.0,Software Developer/Software Engineer,SQL,Master's degree,More than 10 years,,Decision Trees - Random Forests,"10,000 or more employees",Sometimes,Sometimes,Most of the time,,,,Sometimes,6,EU_,132656,euro
57,Male,United States of America,39.0,Data Analyst,Python,Bachelor's degree,3 to 5 years,Time Series,"Bayesian Techniques,Logistic Regression","10,000 or more employees",,,,,,Standalone Team,,6,NA_,105685,dollar
58,Male,South Africa,34.0,Data Scientist,Python,Master's degree,6 to 10 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",100 to 499 employees,,,Often,Often,8.0,Standalone Team,Always,8,AF_,116536,euro
59,Male,Brazil,30.0,Data Analyst,Python,Master's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)",,"1,000 to 4,999 employees",,Often,Often,Often,8.0,IT Department,Rarely,8,SA_,135980,euro
60,Male,United States of America,29.0,Scientist/Researcher,Python,Doctoral degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)",I don't know,,,Often,Often,3.0,Other,Sometimes,9,NA_,101903,dollar
61,Male,Taiwan,45.0,Software Developer/Software Engineer,Python,Master's degree,1 to 2 years,Computer Vision,Neural Networks - CNNs,"10,000 or more employees",,,,Most of the time,8.0,Standalone Team,Rarely,5,AS_,130532,euro
62,Male,Other,26.0,Data Analyst,Python,Other,3 to 5 years,"Computer Vision,Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",100 to 499 employees,,Sometimes,,Most of the time,5.0,Other,Rarely,9,Other_,93009,euro
63,Female,United States of America,25.0,Data Scientist,R,Master's degree,3 to 5 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)","10,000 or more employees",,,Most of the time,,3.0,IT Department,Sometimes,7,NA_,143322,dollar
64,Male,United States of America,63.0,Other,Python,Master's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",100 to 499 employees,Often,Most of the time,,,,Other,Sometimes,7,NA_,161393,dollar
65,Male,Czech Republic,21.0,Data Analyst,Python,Other,1 to 2 years,Computer Vision,"Logistic Regression,Neural Networks - CNNs",,,,Sometimes,Most of the time,,Standalone Team,Sometimes,6,EU_,107487,euro
66,Male,India,22.0,Data Analyst,Python,Bachelor's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression",100 to 499 employees,,,,,8.0,Standalone Team,Sometimes,6,AS_,59647,euro
67,Male,Singapore,31.0,Researcher,,Master's degree,3 to 5 years,"Outlier detection (e.g. Fraud detection),Reinforcement learning",Logistic Regression,"5,000 to 9,999 employees",,,,,2.0,IT Department,Never,5,AS_,124350,euro
68,Male,India,47.0,Data Analyst,Python,Master's degree,More than 10 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",,,Often,,,8.0,Business Department,Sometimes,8,AS_,116222,euro
69,Female,India,24.0,Data Analyst,SQL,Bachelor's degree,3 to 5 years,Time Series,"Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs","10,000 or more employees",,Sometimes,Sometimes,,8.0,Standalone Team,Rarely,6,AS_,55529,euro
70,Male,India,45.0,Programmer,SQL,Other,More than 10 years,,,,,,,Sometimes,8.0,Standalone Team,Always,10,AS_,77808,euro
71,Male,Philippines,35.0,Data Scientist,Python,Doctoral degree,3 to 5 years,"Recommendation Engines,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Logistic Regression,Support Vector Machines (SVMs)",20 to 99 employees,Often,,,,0.0,IT Department,Rarely,10,AS_,134702,euro
72,Male,Malaysia,24.0,DBA/Database Engineer,Python,Bachelor's degree,Less than a year,Computer Vision,Decision Trees - Gradient Boosted Machines,20 to 99 employees,,Often,,Most of the time,8.0,Business Department,Rarely,5,AS_,57834,euro
73,Female,Vietnam,25.0,Programmer,Java,Other,1 to 2 years,Computer Vision,Decision Trees - Gradient Boosted Machines,100 to 499 employees,,,,,,Central Insights Team,,3,AS_,78183,euro
74,Male,France,28.0,Data Scientist,Python,Doctoral degree,Less than a year,"Computer Vision,Supervised Machine Learning (Tabular Data)","Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs",Fewer than 10 employees,,Often,,,2.0,IT Department,Never,8,EU_,134751,euro
75,Male,Egypt,30.0,Engineer,Python,Bachelor's degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series",Logistic Regression,"1,000 to 4,999 employees",,Often,Most of the time,,8.0,IT Department,Rarely,6,AF_,124158,euro
76,Male,Germany,52.0,Data Scientist,R,Doctoral degree,More than 10 years,"Adversarial Learning,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",,,Often,,Sometimes,7.0,Standalone Team,Never,8,EU_,148014,euro
77,Male,United States of America,30.0,Data Scientist,SQL,Master's degree,3 to 5 years,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Other (please specify; separate by semi-colon)","5,000 to 9,999 employees",,,,,3.0,Standalone Team,Sometimes,9,NA_,154187,dollar
78,Male,India,30.0,Business Analyst,Python,Bachelor's degree,6 to 10 years,Supervised Machine Learning (Tabular Data),"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)","5,000 to 9,999 employees",,,Often,,8.0,Standalone Team,Rarely,6,AS_,95343,euro
79,Male,Israel,46.0,Machine Learning Engineer,Python,Master's degree,More than 10 years,"Computer Vision,Natural Language Processing,Speech Recognition,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",10 to 19 employees,,Often,,,2.0,Standalone Team,Sometimes,9,AS_,126536,euro
80,Male,Russia,23.0,Programmer,Python,Bachelor's degree,1 to 2 years,"Computer Vision,Time Series","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",20 to 99 employees,,,,,0.0,IT Department,Rarely,6,EU_,88097,euro
81,Male,France,25.0,Researcher,Python,Doctoral degree,3 to 5 years,"Natural Language Processing,Unsupervised Learning","Decision Trees - Random Forests,Logistic Regression","1,000 to 4,999 employees",,,Often,,1.0,Standalone Team,Rarely,8,EU_,106034,euro
82,Male,Poland,23.0,Machine Learning Engineer,Python,Bachelor's degree,1 to 2 years,"Machine Translation,Natural Language Processing,Recommendation Engines","Evolutionary Approaches,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)","10,000 or more employees",,,Most of the time,,0.0,Standalone Team,Never,8,EU_,60392,euro
83,Male,Taiwan,23.0,Software Developer/Software Engineer,R,Bachelor's degree,Less than a year,"Computer Vision,Reinforcement learning,Speech Recognition,Time Series","Evolutionary Approaches,Logistic Regression,Neural Networks - RNNs",Fewer than 10 employees,,,Sometimes,,0.0,IT Department,Sometimes,6,AS_,77989,euro
84,Male,United States of America,25.0,Computer Scientist,Python,Bachelor's degree,1 to 2 years,"Computer Vision,Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",,,Sometimes,Sometimes,Sometimes,3.0,Business Department,Sometimes,6,NA_,82122,dollar
